discussion,role
"Отгрузка товара от третьего лица 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Расчетная ведомость форма Т-51 ,1
Таможня запросила документы за 3 года ,1
Не сдан 6 ндфл ,1
Список дебиторов и кредиторов ,1
"Дата в чеке самозанятого самозанятые Согласно закону самозанятый — это человек, который платит специальный налог на профессиональный доход (НПД). При этом не нужно дополнительно отчислять подоходный налог или налог на прибыль. ",1
Фасовка ,1
Авансы по прибыли ,1
Не отображается договор в карточке контрагента ,1
Покупатель возмещает затраты не оговоренные в Договоре ,1
"Декларация по прибыли 1 кв 2021 - КПП обособленного подразделения, если нет ОП ",1
Налог с продажи квартиры ,1
Расчет взносов с базы превышающей предел у СМП ,1
Заполнение регулярных платежей за пользование недрами ,1
3-НДФЛ статус декларации ,1
Декларация по налогу на прибыль ИТ компании ,1
Излишне перечисленный НДФЛ за работника ,1
Декларация по прибыли (убыток) 4кв19 и 1кв2020г ,1
Выдача ЗП за апрель ,1
Распределить счет 25 на 20 ,1
Выплата дивидендов иностранной организации ,1
Компенсация при увольнении после длительного админ отпуска ,1
"Сдана декларация, которую не следовало сдавать ",1
"1с облагает сумму по больничному листу за счет работодателя страховыми взносами больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
Кассовый чек за мед.осмотр ,1
Место регистрации ККТ для ИП ,1
Необходимо ли списывать упаковочные и антикражные материалы в торговой организации на УСН по нормативу? ,1
Учет в БУ и НУ неисключительных прав использования Веб-системы СБИС ,1
"Откуда ждать подвох? Строим здание, тратим с р\с ",1
Амортизационная группа ,1
Как проверить синхронизацию ,1
Выпуск векселя впервые ,1
Кассовый чек по займу ,1
"22 жкх жилище, 2 раздел по начислению или по оплате заполнять? ",1
Перешла с усн на патент ,1
"Мартовская ежемесячная премия должна попадать в 2 раздел 2 НДФЛ, если выплачена в апреле? ",1
Расходы на рекламу ,1
1С начало вредить своим пользователям ,1
3-НДФЛ через ЛК _ теряются документы ,1
Остается сальдо по лизинговым операциям! ,1
НДФЛ с минусом как вернуть сотруднику ,1
Компенсация за использование личных ресурсов ,1
Закупка товара за наличные? ,1
Как исправить дату с-ф в прошлом периоде? ,1
6-ндфл ,1
Форма 1 КФХ ,1
Членские взносы. ООО на УСН и КУиДР ,1
Неустойка по договору ,1
Иностранец - гражданин Кипра какие налоги платим? ,1
НДС налоговый агент аренда муниципального имущества ,1
Какие услуги можно включить в патент общепита? ,1
Налог на прибыль при распределении дивидендов ,1
Журнал учета движение отходов ,1
Аванс на р/с ООО от ФЛ ,1
Экспорт - Республика Абхазия усн Упрощенная система управления ,1
Списание основных средств в 1с 8.3 ,1
Превышение лимита 60 млн при совмещении УСН и патента ,1
Материальная помощь в каких отчетах отображается? ,1
Как заполнить смешанную 3-НДФЛ? ,1
Каталог выгрузки выплаты в Камин ,1
Корректрировка НДС 4квартала 2020 Базовая ,1
Новая 6-НДФЛ ,1
"Добрый день! Помогите пожалуйста с налоговой декларацией, я немного запуталась (( усн Упрощенная система управления ",1
"6-НДФЛ, перерасчет НДФЛ в 2021 году за 2020 год ",1
Поготовка заявления закрытия ИП в программе поготовки документов не получается выбрать файл для отправки? ,1
"6-ндфл гпх округление копеек и методы расчета ндфл договор-гпх  ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
"Учет затрат в компании, которая занимается ниокр ",1
Можно ли выдавать ЗП из кассы ,1
Обособленное подразделение ,1
Естественная убыль ,1
ИП УСН продажа зем.участка как товар ,1
"Как организации на УСН вернуть физлицу оплату, полученную на расчетный счет? ",1
Касса организации ,1
1С-Рарус: Бухгалтерия для адвокатских образований ,1
Ошибка ставки УСН ,1
Бухгалтерская отчетность ООО ,1
Зачет возврата при оплате от ИП ,1
Отменяющая СЗВМ договор-гпх  ,1
РЕПО в сбербанке ,1
Списание бензина ,1
Покупка земли и НДС ,1
ИМПОРТ. Антидемпинговые пошлины ,1
Ст.6.1 Федерального закона №115-ФЗ «О противодействии легализации» ,1
"Срок предоставления документов по ВНП, при этом ВНП приостановлена ",1
Электронные больничный по БиР ,1
"6-НДФЛ ""нулевая"" ",1
Пособие по беременности и родам ,1
Предупреждения по контрольным соотношениям по НДС ,1
Заполнение формы 6НДФЛ ,1
"Налоговая просит сдать уточненный расчет РСВ за 4 квартал 2018, не изменяя данные ",1
Автоматизация учета Коллегии адвокатов ,1
Отчетность в таможню при экспорте в Румынию ,1
"ИП на УСН, расходы на доменное имя ",1
Закрывающие документы с опозданием.НДС и Прибыль ,1
Учет ГСМ ,1
Профессиональные налоговые вычету у адвоката в коллегии адвокатов ,1
ИП 6% получение арендных платежей после продажи помещения ,1
Покупатель вернул товар.Провоки ,1
Корректировка бух отчетности ,1
Как учесть паллеты (поддоны) и стрейч-пленку для склада ,1
Кривые руки программистов. Это смертельно? ,1
Переход с УСН на ОСНО после 15 января ,1
Налог на прибыль правильность заполнения ,1
"Помогите с учётной политикой, где прописать льготу ",1
Стоимость импортного товара ,1
Не проведен обязательный аудит ,1
Переход с ОСНО на УСН. Восстановление НДС с выкупленного 31.12 лизингового имущества ,1
Вычет НДС на покупку недвижимости у ИП на обычной системе налогообложения ,1
Проверка 1С ругается на РСВ с тарифом 06 ,1
Пришел другой товар ,1
Вопросы по заполнению 6-НДФЛ ,1
"Централизация карточек расчетов с бюджетом и НДФЛ, патент ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Вопрос недоплата НДФЛ ,1
НДФЛ- нужно ли платить и что учитывать? ,1
Вопросы по расчету страховых взносов ,1
"Пытаюсь безуспешно создать отчет ""страховые взносы расчет за 1 квартал"" ",1
З/п в расход при усн 15% ,1
Какие возможны штрафы - превышение лимита расчета наличными и не выбит чек ккм ,1
ООО передает ОС в уставной капитал другого ООО ,1
Патент ,1
Облагается ли НДФЛ возмещение физлицу комиссии банка при получении от него займа? ,1
Отгрузка товара с колес ,1
Декларация по алкоголю ,1
Не могу заполнить 6-НДФЛ ,1
Заполнение раздела 2 книги учёта доходов и расходов ,1
Валютное РЕПО ,1
Как 1С расчитывает соцвзносы по разным тарифам для малого предприятия ,1
Больничный лист ,1
Таможенная пошлина УСН в 1С ,1
Счет на физлицо ,1
Неверный статус в платежном поручении НДФЛ ,1
Делаю расчет по страховым взносам ,1
Возврат подарочных сертификатов ,1
Доп тарифы по страховым взносам ,1
Отпускные в 6-НДФЛ и не только ,1
Проводки по воде и таре ,1
КБК по НДФЛ ,1
1С для трейдеров на товарной бирже ,1
Вознаграждение + расходы по договору подряда твердая цена ,1
Новый 6-НДФЛ за 1 квартал 2021 года ,1
Расчет без ККМ-какие штрафы стороне которая платит? ,1
Уточненная декларация УСН после закрытия ИП ,1
"Нужно ли в расчете 6-НДФЛ указывать стоимость приза, выданного сторонним физлицам в рамках рекламной акции, и сумму неудержанного налога? ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
"Мое увольнение в ООО, которое прекратило работу и директор его бросил ",1
Ошибка в сумме в счет-фактуре ,1
Требуется юрист для решения споров по НДС в ИФНС13 г. Москва ,1
Пособие по временной нетрудоспособности и страховые взносы по пониженным тарифам ,1
Как в ЗУП изменить ОКВЭД для заполнения 4-ФСС ,1
Кассовый чек ,1
Штраф за 1-предприниматель ,1
Облагается ли УСН поступление от ФССП ,1
"Правомерны ли закрывающие документы на общую сумму вместо нескольких позиций, со ""средним арифметическим"" в графе ""цена""? ",1
Помогите доссчитать налоги по ценным бумагам для отчетности 3нфл ,1
Заполнение таблицы 5 отчета 4-фсс в части медосмотров ,1
Какие расходы можно учитывать при Усн д-р общепит усн Упрощенная система управления ,1
Наличные и безналичные расчеты ККТ ,1
СЗВ-М и СЗВ-тд усн Упрощенная система управления ,1
Новое ООО усн Упрощенная система управления ,1
Временно пребывающие иностранцы и РСВ ,1
Иностранная компаниия предоставляет в аренду сайт для интернет-магазина ,1
НДС при импорте ,1
"Как отчитываться при экспорте лесоматериалов, если перевозчиком является юридическое лицо из Республики Беларусь? ",1
Налогообложение при оказании услуг иностранным гражданином (Казахстан) российскому ИП ,1
Экспорт в Китай и оказание нам услуг на территории Китая ,1
Компания на УСН продает товар в Белоруссию ,1
Недогруз экспорта в Узбекистан ,1
Поставка из Италии через Казахстан ,1
Что-то я запутался ,1
ИП на УСН 6% и Вайлдберриз-что по возвратам? ,1
Остатки прошлых лет ,1
"Остаток задолженности фсс по больничным на 01.01.2021 при усн (15%) попадает в расходы, как исправить 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. усн Упрощенная система управления ",1
Уведомление из ИФНС по расхождениям по 2-НДФЛ и 6-НДФЛ ,1
Отчетность при ликвидации ООО (нулевка) ,1
НДФЛ-6 и переплаченные отпускные ,1
Требование из налоговой - подтвердить обоснованность применения пониженного тарифа страховых взносов за 2020 год ,1
Среднесписочная численность в 4-ФСС и РСВ ,1
Вопрос про код дохода 1011 в новом отчете 6 НДФЛ ,1
СЗВ-М. Нужно ли сдавать? усн Упрощенная система управления ,1
3-НДФЛ. Одновременная подача доход + социальный вычет ,1
Как ИП заполнять раздел 1 в декларации 3-НДФЛ за 2020 год? ,1
ФСС: как после перехода на прямые выплаты отправлять ЭЛН ,1
"Как закрыть закрыть задолженность ИП перед ТК (Транспортной компанией) за личные услуги ИП услуги не относящиеся к деятельности магазина? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  усн Упрощенная система управления ",1
УСН - можно ли принять в расходы? ,1
Новый формат алкогольной декларации ,1
"Как сформировать в 1с 8.3 ОСВ сч. 68.01.1 с детализацией по налоговым ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Помогите! Потеряла рег. данные на 1С 7.7 УСН ,1
Оплата парковок (Москва) ,1
Требования на уплату налогов в ЛК налогоплательщика ,1
"Различное написание названия ООО в Уставе, ЕГРЮЛ и первичных документах ",1
"С какой отчетностью сдать мое увольнение, если провести апрелем, то сдавать только за полугодие? ",1
"Почему в ОСВ висит конечное положительное сальдо по кредиту счета 41.01 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ип Индивидуальный предприниматель усн Упрощенная система управления ",1
Транспортная накладная новая форма ,1
Отчетность при ликвидации ,1
Дивиденды ,1
Реализация белорусского товара на территории РФ ,1
Не учли детский вычет ,1
Производство ,1
Расчет среднего заработка ,1
Можно ли осуществлять замену лет для расчета простого больничного? ,1
Расчет опускных и компенсации за неисп. отпуск у Ип ,1
Расчет больничного и заявление от сотрудника на расчет - даты могут не совпадать? ,1
"Как провести в 1С возврат денег покупателю с личной карты ИП? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ип Индивидуальный предприниматель усн Упрощенная система управления ",1
Расходы на обучение работников на УСН 6% ,1
Нужно ли применять ККТ при взаимозачете задолженности по займу и продажи автомобиля между ООО и физлицом? (Применение ККТ)  ,1
3 НДФЛ за 2019 год ,1
Кассовый чек - ФЛ-ИП ,1
СЗВ-ТД на генерального директора вновь созданной организации ,1
Маркировка (давальческие услуги) ,1
Корректировка реализации на уменьшение - образовался аванс ,1
Пробивать ли чек при поступлении денег на р/сч от Нотариуса? ,1
Чек расход не пробили во время. Коррекция? ,1
Требование ИФНС по РСВ ,1
Положениие по бухгалтерии ,1
Сверка с налоговой В Москве по оплате патента ИП и торгового сбора ,1
Вычет по ипотечным процентам по двум ипотекам ,1
Когда у принципала на УСН (6%) возникает доход по агентскому договору? ,1
"Как сдать отчетность, если директор бросит ООО, мне надо уволится и электронная отчетность не подключена? ",1
Чек на расход поставщику при оплате наличными ,1
Какие возникают налоговые обязательства у ООО на ОСН при ликвидации и передаче имущества единственному участнику ,1
НДС за 2018 ,1
Стоимость импортного товара ,1
Оприходование товара в iiko ,1
Требование по 6-НДФЛ ,1
Исправление ошибок ,1
Убыток второй год подряд ,1
Срок списания стоимости ОС ,1
Номер упд ,1
УСН и дважды платить налог? ,1
Как грамотно оформить оплату усн Упрощенная система управления ,1
Оказание услуги в Таджикистане без НДС ,1
Платная консультация по поступлению и реализации импортного товара ,1
"Возврат НДФЛ пенсионером ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Удержание алиментов по 2 ИП ,1
Маркировка ,1
Договор подряда и взносы по пониженному тарифу ,1
"Список обязательной отчености для недействующего ООО УСН 6% (нулевка, без работников) усн Упрощенная система управления ",1
Как аннулировать поданные справки 2-НДФЛ? ,1
Указанный в балансе код из оквэд отличается от основного: как поступить? усн Упрощенная система управления ,1
Как назвать расход на УСН ,1
Встречка за 2015-2017 годы ,1
Выписка документов по доверенности ,1
Ни разу не сдавали СЗВ-ТД что делать? ,1
"ООО 6% нулевка, без работников. Как сдать баланс? ",1
Авансы по налогу на прибыль ,1
Возврат на корпоративную карту: проводки ,1
3-НДФЛ сумма расходов на объект ,1
Строительство ОС при УСН д-р усн Упрощенная система управления ,1
Убыток от продажи ОС если нет доходов ,1
Как уплачивать НДС при оказании услуг на территории РФ контрагенту из Казахстана? ,1
Учет расходов по арендной плате в упрощенной финансовой отчетности ,1
Убыток в балансе ,1
Чек на аванс ,1
ТОСЭР разные ставки взносов ,1
Какими документами оформить доставку товара из интернет-магазина юридическому лицу? ,1
Расход прошлого года ,1
Как заполнять журнал регистрации результатов предрейсового контроля? ,1
"Выплата промежуточных дивидендов, ООО на УСН 6% усн Упрощенная система управления ",1
КАК ввести код ТН ВЭД одновременно у большой группы номенклатурных позиций? ,1
СЭДО Извещения ФСС 1С предприятие ,1
Отчет 4-инновация за 2020 год ,1
Расчеты наличкой между ФЛ резидентом и нерезидентом ,1
Штраф за несданную бухотчетность микропредприятия за 2020 год ,1
"Сдача баланса через ТКС, сбой в программе ",1
Корректировка реализации за 2018 год ,1
Применение ФСБУ 5/2021 по спецодежде и др ,1
Налогообложение у ФЛ1 и ФЛ2 при уступке ,1
Расхождение в книгах покупок и продажам по авансовым счетам-фактурам в датах ,1
"Если не постоянно деятельность у ООО на ОСНО, как быть с зарплатой директора? ",1
"Как сделать корректировку СЗВ-ТД, если в Регистрации трудовой деятельности Мероприятия трудовой деятельности? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Поле объекта не обнаружено ,1
3 исполнительных листа ,1
Патент-УСН-патент ,1
Проблемы при списании со сч. 10 и сч. 41 ,1
Минус по 50 счету ,1
Уменьшение налогов при совмещении УСН доходы и Патента ,1
Проводка 99.09 ,1
Покупка дорогого айфона проводки в бух учете ,1
"Договор с мамой, а возврат за лечение ребёнка хочет сделать папа. Как делать? ",1
Обязательно являться на встречу в ИФНС по кам.пров.НДС ,1
Комментарии по убытку в декларации ,1
Как в 1с Отражать поступление по Яндекс Кассе ,1
"Нет договора с мед учреждением, вернут ндфл за лечение? ",1
Бух отчетность смп ,1
Какой вычет поредоставить на ребенка? ,1
Налоговый вычет на лечение ,1
Ошибки в балансе прошлого года ,1
Маркировка и бухгалтер ,1
Уменьшение налога за счет уплаты коммунальных услуг ,1
Обязательный аудит ,1
Стоимость чистых активов меньше уставного капитала: подлежит ли общество ликвидации? ,1
НДС в контракте с нерезидентом ,1
Расчет отпускных после карантина ,1
Расходы УСН ,1
Возможно ли неоднократно принимать решение участником о распределении прибыли ООО за прошлые годы ,1
Отчетность по экологии у мед.центра ,1
Экология ,1
Экосбор ,1
Пояснения к отчетности ,1
"Организации на УСН, ЕНВД: что сдаем за 4 квартал (год) 2020 год ",1
Среднесписочная численность ,1
Страховка каско и осаго ,1
Компенсация при увольнении ,1
Перевод перерасхода подотчетного лица в беспроцентный заем ,1
Убытки прошлых лет усн Упрощенная система управления ,1
"Налог на имущество, Москва, усн, перечень по кадастру ",1
Налог по УСН оплачен не полностью ,1
Ошибка в балансе (нулевка) ,1
Новые реквизиты на уплату налогов ,1
Отчетность по экологическому сбору ,1
Отчет в росстат по старой форме ,1
"Статус ""Не оплачено"" в расходах УСН по одному контрагенту ",1
АНО УСН6% целевые и добровольные взносы попадают под налог на прибыль? ,1
Лицензия ,1
"Налоговая отказала в смене юр.адреса по пп. «р» п.1 ст. 23 Закона «О госрегистрации», хотя у нас все по правилам. Что делать? ",1
долг за неотработанные дни отпуска ,1
Инвентаризация расходов будущих периодов ,1
Ошибка в реквизитах чеков онлайн-кассы ,1
"Оплата поставщику не попадает в КуДиР 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
"Прощение долга одной организации другой по договору займа, учредитель один и тот же во всех организациях ",1
Декларация по налогу на прибыль ,1
Налог на прибыль авансовые платежи ,1
Торговый сбор для АГЗС ,1
"Нужен совет, обратился директор, у него интернет-магазин бытовой техники и производство элетромонтажных работ? ",1
Проводки при выплате зарплаты через КТС ,1
Статистика форма МП-СП за 2020 год ,1
Списание кредиторской задолженности если кредитор ИП ,1
Помогите разобраться в фактических затратах НК ,1
"ИП пострадавший по ОКВЭД, но деятельность по другому ОКВЭД, как быть с уменьшающими % по деки на УСН? усн Упрощенная система управления ",1
Минусуется ли сумма минимального налога на обнуленный налог за 2 кв.2020 пострадавшим от ковида отраслям? усн Упрощенная система управления ,1
Расходы по решению суда УСН 15% усн Упрощенная система управления ,1
Отражение у учете вклада участника в простое товарищество ,1
"Может ли так оказаться, что регистрировать онлайн кассу, а в ИФНС данные так и не поступили? ",1
Как провести продажу ОС физическому лицу за наличный расчет с ККт в 1 с ,1
Как убрать отрицательные остатки в 1с 8.3 бухгалтерия? ,1
Неправильное зачисление денежных средств усн Упрощенная система управления ,1
Как исправить собственную ошибку при регистрации документа поставщика? ,1
Можно ли отнести в расходы по усн расход по райдеру? ,1
Табель учета рабочего времени ,1
Простой вексель ,1
Отчетность по прибыли ,1
Отнесение обучения на расходы ,1
Ошибка в сведениях о валютной операции ,1
Налог на имущество организаций ,1
ООО оказывает услуги по монтажу нерезиденту на территории РФ (налоги) ,1
Агент перевыставляет услуги иностранцу ,1
Контур при проверке дает расхождения Налог на прибыль и НДС4кв20 на сумму НДС из стр 030 разд3 декл по НДС ,1
Раздельный учет в ООО на ОСНО при работе с компаниями на УСН ,1
Дивиденды ООО при УСН ,1
Можно в 3-ндфл получить вычет по ИИС за 3 предыдущих года если до этого о вычетах не заявлял? ,1
Составление упрощенного баланса ,1
Упрощенная бух.отчетность ,1
Налорги вывели компанию из ЕГРЮЛ при живых работниках ,1
"Закрытие валютного контракта в банке, если по нему есть положительное сальдо (переплата от нерезидента) ",1
Строительство площадки на арендованной земле ,1
"Уставный капитал в балансе - незарегистрированный, но оплаченный ",1
Транспортные средства предприятия ,1
"Субсидия в выручке ,расчёт 1% и статистика ип Индивидуальный предприниматель ",1
Баланс УСН+ЕНВД выручка больше 150 млн не проходит отчет усн Упрощенная система управления ,1
Инвентаризация резерва отпусков ,1
Отчетность в Росприроднадзор и сверка ,1
Транспортная накладная ,1
Компенсация ком услуг по договору аренды УСН 6 % ,1
"Не берут на работу без опыта? Что делать,где его взять? ",1
Заполнение формы МП-СП об основных показателях деятельности малого предприятия ,1
Резервы по сомнительным долгам ,1
Районный коэффициент ,1
Товар для потенциальных покупателей ,1
"Делать ли корректировку по декларации 6-НДФЛ и Расчет по страховым взносам, если не сходится расчеты с бывшим бухгалтером? ",1
Дивиденды при 50% учредителя 50% общества ,1
Перевыставление компенсации за тепловую энергию ,1
"Ошибочно пробит чек на большую, чем надо сумму ",1
Что делать с сальдо после смены собственника? ,1
"Продали оборудование, которое требовало монтаж. Первичные документы ",1
Как вести учёт оптовой и розничной продажи автозапчастей? ,1
"Подскажите, как быть с ИП и ООО в одном магазине ",1
Штраф 2-НДФЛ ,1
Росфинмониторинг -вопросы по лк ,1
О применении ККТ при предоставлении участнику программы лояльности подарка за бонусы ,1
"Пониженные тарифы по ст 427 НК , платить ли доп.взносы по ст 428 НК? (плавсостав) ",1
Налогообложение: агент и авторские права ,1
Налог с продажи квартиры у физика ,1
Перекинуть со сч. 41 на 10 счет ,1
Вся прибыль во 2 квартале — что делать? ,1
Как купить 1С со скидкой ,1
Закрытие года ,1
6-НДФЛ по закрытому ОП ,1
Больничный сроком 3 календарных дня ,1
Драгметаллы и НДС ,1
Дивиденды при УСН ,1
ФНС жжот или мы чего то не знаем? ,1
"УСН ""доходы-расходы"": могут ли доходы за год быть меньше доходов за 9 месяцев? Налоговая считает, что нет, и требует корректировку усн Упрощенная система управления ",1
Можно принять к вычету НДС по не используемому ОС? ,1
Передача предмета лизинга ,1
Как поставить на баланс комплектацию? ,1
Аренда помещения в Вузе ,1
3-НДФЛ как активировать долю при получении имушественного вычета ,1
Начисление страховых взносов в 2021 году ,1
Прямые расходы не попадают в Расчет налога на прибыль ,1
"Выгрузка платежки из 1 С в формате 1С txt 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Вопрос по бухгалтерскому балансу ,1
"В акте выполненных услуг, что указать вместо договора, если ИП и ООО не заключали договор? ",1
Акциз в бухучете ,1
"Выездная проверка фсс, истребование документов ",1
"Чек при оплате аренды офиса , арендуемого у физика ",1
"Корпоративная сотовая связь с Мегафоном, прошу помощи, баланс горит ",1
Бух.баланс за 2020г ,1
Прибыль за счет списания кредиторской задолженности когда убыток по основной деятельности ,1
Прямые выплаты от ФСС ,1
"Требование из ИФНС на оплату при отсутствии задолженности (начисление по 1/12, оплата одним платежом на полную сумму) ",1
Виртуальная касса в интернет-магазине ,1
"Помогите, пожалуйста, разобраться с требованием от ФНС ",1
Налоговый расчет о выплатах иностраным организациям ,1
Сумма патента в связи с изменениями законодательства ,1
"ККТ в 2021 для ИП с сотрудниками, образовательные услуги усн Упрощенная система управления ",1
Возврат таможенных платежей ,1
"Определить, облагается ли недвижимость по кадастровой стоимости ",1
Корректировка декларации по прибыли ,1
Закрытие дебиторки по аренде без ежемесячных актов-возможно ли? ,1
Можно ли применять пониженную ставку налога по УСН в Санкт-Петербурге с 2020 года? усн Упрощенная система управления ,1
"НДФЛ с сумм выплат процентов по займам в 2020 году не начислен и не уплачен. Как всё исправить с наименьшими потерями? ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
ИП на УСН 6% занимается мелко-оптовой торговлей через интернет может ли хранить ТМЦ дома или гараже? ,1
